"danish","swedish","pos","example_da","example_sv","note","deck","cefr","tags","accepted","audio","audio_example","rank"
"løbe","springa (löpa)","verb","","","","praksis-verber-bevaegelse-b1","b1","","","audio/da-03cbfe456a097d.mp3","","749"
"snakke","prata","verb","Kan vi snakke om det i morgen?","Kan vi prata om det imorgon?","","praksis-verber-kommunikation-b1","b1","","","audio/da-167cee92892db7.mp3","","410"
"huske","komma ihåg","verb","Kan du huske, hvad hun hedder?","Kommer du ihåg vad hon heter?","","praksis-verber-taenkning-b1","b1","","","audio/da-03b39d89f3fe39.mp3","","311"
"savne","sakna","verb","","","","praksis-verber-foelelser-b1","b1","","","audio/da-0190fcc01cc8b9.mp3","","1849"
"kigge","titta","verb","Skal vi kigge på nogle lejligheder i weekenden?","Ska vi titta på några lägenheter i helgen?","","praksis-verber-sansning-b1","b1","","","audio/da-192fd2ed03a7a2.mp3","","894"
"samle","plocka upp (samla ihop)","verb","","","","praksis-verber-haandtering-b1","b1","","","audio/da-00cc6e150a8897.mp3","","1781"
"blive","bli (förbli)","verb","Vil du ikke blive her lidt længere?","Vill du inte stanna här lite längre?","","praksis-verber-forandring-b1","b1","","","audio/da-03d2b6fc46c744.mp3","","135"
"ansætte","anställa","verb","","","","praksis-verber-arbejde-b1","b1","","","audio/da-168e92d909c441.mp3","","6064"
"vaske op","diska","verb","","","","praksis-verber-husarbejde-b1","b1","","","audio/da-0b3c3241175211.mp3","",""
"spise","äta","verb","Hvad skal vi spise til aftensmad?","Vad ska vi äta till middag?","","praksis-verber-madlavning-b1","b1","","","audio/da-08509ab384d094.mp3","","450"
"synke","svälja (obs: ej sjunka)","verb","","","","praksis-verber-krop-b1","b1","falsk-ven","sluge","audio/da-18a19e5b1bc14a.mp3","","8110"
"møde","träffa","verb","Vil du møde mine forældre på lørdag?","Vill du träffa mina föräldrar på lördag?","","praksis-verber-social-b1","b1","","","audio/da-0a43ad75a45fc1.mp3","","284"
"nappe","nypa, knipsa","verb","","","","praksis-verber-konflikt-b2","b2","falsk-ven","","audio/da-11a60581e7f52e.mp3","","25037"
"vente","vänta","verb","Kan du vente fem minutter på mig?","Kan du vänta på mig i fem minuter?","","praksis-verber-tid-b1","b1","","","audio/da-0f632d440b101b.mp3","","451"
"bruge","spendera (använda)","verb","Jeg vil ikke bruge så mange penge på tøj.","Jag vill inte lägga så mycket pengar på kläder.","","praksis-verber-penge-b1","b1","","","audio/da-13dc2d792d02d7.mp3","","223"
"lære","lära sig (även: lära ut)","verb","Jeg vil gerne lære at lave dansk mad.","Jag vill gärna lära mig att laga dansk mat.","","praksis-verber-laering-b1","b1","","","audio/da-066fac784dccb6.mp3","","525"
"cykle","cykla","verb","","","","praksis-verber-rejse-b1","b1","","","audio/da-1152c4895b3063.mp3","","10142"
"fryse","frysa","verb","","","","praksis-verber-natur-b1","b1","","","audio/da-04ac02d04165f7.mp3","","6651"
"gøre","göra","verb","Kan du gøre mig en tjeneste?","Kan du göra mig en tjänst?","","praksis-verber-frekvente-b1","b1","","lave","audio/da-188d4f96f50f84.mp3","","68"
"tillade","tillåta","verb","","","","praksis-verber-abstrakt-b1","b1","","","audio/da-1c53836f6bc962.mp3","","2922"
"lave","göra (tillverka)","verb","Skal vi lave mad sammen i aften?","Ska vi laga mat tillsammans i kväll?","","praksis-verber-byggeri-b1","b1","","","audio/da-03c045c69fd3fa.mp3","","280"
"sno","sno (vrida sig/sno)","verb","","","","praksis-verber-bevaegelse2-b2","b2","","","audio/da-1104dc8dd9d5f1.mp3","","17191"
"rar","snäll","adj","","","","praksis-adjektiver-personlighed-b1","b1","falsk-ven","sød","audio/da-069384befd5dcf.mp3","","1901"
"smuk","vacker (skön)","adj","Hun havde en smuk kjole på til festen.","Hon hade en vacker klänning på sig på festen.","","praksis-adjektiver-udseende-b1","b1","","","audio/da-0375f5f5dfef43.mp3","","550"
"ked af det","ledsen","adj","","","","praksis-adjektiver-foelelser-b1","b1","","","audio/da-14d1046cab4312.mp3","","269"
"kæmpe","jätte- (jättestor)","adj","De har købt et kæmpe hus uden for byen.","De har köpt ett jättestort hus utanför stan.","","praksis-adjektiver-stoerrelse-b1","b1","","","audio/da-1bd4038550c030.mp3","","672"
"sej","cool (tuff, seg)","adj","","","","praksis-adjektiver-kvalitet-b1","b1","","","audio/da-03cd8664d35161.mp3","","1752"
"lummer","kvav (lummen, fuktigt varm)","adj","","","","praksis-adjektiver-temperatur-b2","b2","","","audio/da-123f76916d895b.mp3","",""
"lyserød","rosa","adj","","","","praksis-adjektiver-farver-b1","b1","","","audio/da-002174d69bd427.mp3","","8112"
